Site,LineID,X,Y,SF_Depth,XYdist,Width_Fish,Width_Invert,XYWarea_Fish,XYWarea_Invert,Substrate,Habitat_Fine,Brown.rockfish
AN1,101_1400,559153.9837,4104676.764,42.9,0.347032947,1.53,1.08,0.530960409,0.374795583,Soft,Mud,0
AN1,101_1400,559154.2831,4104676.608,43.1,0.337956162,1.53,1.08,0.517072927,0.364992655,Soft,Mud,0
AN1,101_1400,559154.5715,4104676.45,43.1,0.328698526,1.53,1.08,0.502908745,0.354994409,Soft,Mud,0
AN1,101_1400,559154.8486,4104676.292,43.2,0.319260771,1.275,0.9,0.407057483,0.287334694,Soft,Mud,0
AN1,101_1400,559155.1144,4104676.133,43.2,0.309644454,1.275,0.9,0.394796679,0.278680009,Soft,Mud,0
AN1,101_1400,559155.3697,4104675.973,43.3,0.300911588,1.19,0.84,0.35808479,0.252765734,Soft,Mud,0
AN1,101_1400,559155.6155,4104675.814,43.2,0.293041279,1.19,0.84,0.348719121,0.246154674,Soft,Mud,0
AN1,101_1400,559155.8527,4104675.654,43.1,0.286171025,1.19,0.84,0.34054352,0.240383661,Soft,Mud,0
AN1,101_1400,559156.0822,4104675.493,43,0.280290182,1.19,0.84,0.333545317,0.235443753,Soft,Mud,0
AN1,101_1400,559156.305,4104675.331,42.9,0.275386436,1.19,0.84,0.327709859,0.231324606,Soft,Mud,0
AN1,101_1400,559156.522,4104675.168,42.8,0.271446066,1.19,0.84,0.323020819,0.228014696,Soft,Mud,0
AN1,101_1400,559156.7343,4104675.004,42.7,0.268276986,1.19,0.84,0.319249613,0.225352668,Soft,Mud,0
AN1,101_1400,559156.9431,4104674.839,42.8,0.26584221,1.19,0.84,0.31635223,0.223307457,Soft,Mud,0
AN1,101_1400,559157.1496,4104674.675,42.9,0.264113907,1.19,0.84,0.314295549,0.221855682,Soft,Mud,0
AN1,101_1400,559157.355,4104674.51,43,0.263074584,1.19,0.84,0.313058755,0.22098265,Soft,Mud,0
AN1,101_1400,559157.5604,4104674.346,43.1,0.262717895,1.02,0.72,0.267972253,0.189156884,Soft,Mud,0
AN1,101_1400,559157.7657,4104674.183,43.2,0.262539842,0.935,0.66,0.245474752,0.173276296,Soft,Mud,0
AN1,101_1400,559157.9711,4104674.019,43.2,0.262539841,0.935,0.66,0.245474752,0.173276295,Soft,Mud,0
AN1,101_1400,559158.1764,4104673.856,43.1,0.262539842,0.935,0.66,0.245474752,0.173276295,Soft,Mud,0
AN1,101_1400,559158.3818,4104673.692,43.1,0.262539841,0.935,0.66,0.245474752,0.173276295,Soft,Mud,0
AN1,101_1400,559158.5871,4104673.529,43,0.262539842,0.935,0.66,0.245474752,0.173276295,Soft,Mud,0
AN1,101_1400,559158.7925,4104673.365,43,0.262539841,0.9775,0.69,0.256632695,0.181152491,Soft,Mud,0
AN1,101_1400,559158.9979,4104673.201,42.8,0.262539841,1.02,0.72,0.267790638,0.189028686,Soft,Mud,0
AN1,101_1400,559159.2032,4104673.038,42.8,0.262539842,1.19,0.84,0.312422412,0.220533467,Soft,Mud,0
AN1,101_1400,559159.4086,4104672.874,42.8,0.262539841,1.19,0.84,0.312422411,0.220533467,Soft,Mud,0
AN1,101_1400,559159.6139,4104672.711,42.9,0.262539842,1.275,0.9,0.334738298,0.236285857,Soft,Mud,0
AN1,101_1400,559159.8193,4104672.547,42.9,0.262539842,1.275,0.9,0.334738298,0.236285858,Soft,Mud,0
AN1,101_1400,559160.0246,4104672.384,43.1,0.262539842,1.19,0.84,0.312422412,0.220533467,Soft,Mud,0
AN1,101_1400,559160.23,4104672.22,43.1,0.262539841,1.275,0.9,0.334738297,0.236285857,Soft,Mud,0
AN1,101_1400,559160.4354,4104672.056,43.2,0.262539841,1.275,0.9,0.334738297,0.236285857,Soft,Mud,0
AN1,101_1400,559160.6407,4104671.893,42.3,0.262539842,1.36,0.96,0.357054185,0.252038248,Soft,Mud,0
AN1,101_1400,559160.8461,4104671.729,42.3,0.262539842,1.445,1.02,0.379370071,0.267790638,Soft,Mud,0
AN1,101_1400,559161.0514,4104671.566,43.1,0.262539841,1.445,1.02,0.379370071,0.267790638,Soft,Mud,0
AN1,101_1400,559161.2568,4104671.402,43.1,0.262539841,1.87,1.32,0.490949503,0.34655259,Soft,Mud,0
AN1,101_1400,559161.4621,4104671.239,43.1,0.262539842,1.7,1.2,0.446317732,0.315047811,Soft,Mud,0
AN1,101_1400,559161.6675,4104671.075,42.9,0.262539841,1.7,1.2,0.44631773,0.315047809,Soft,Mud,0
AN1,101_1400,559161.8729,4104670.911,42.8,0.262539842,1.7,1.2,0.446317731,0.31504781,Soft,Mud,0
AN1,101_1400,559162.0782,4104670.748,42.8,0.262539841,1.53,1.08,0.401685957,0.283543028,Soft,Mud,0
AN1,101_1400,559162.2836,4104670.584,42.7,0.262539842,1.36,0.96,0.357054185,0.252038248,Soft,Mud,0
AN1,101_1400,559162.4889,4104670.421,42.8,0.262539841,1.36,0.96,0.357054184,0.252038248,Soft,Mud,0
AN1,101_1400,559162.6943,4104670.257,42.9,0.262539842,1.02,0.72,0.267790639,0.189028686,Soft,Mud,0
AN1,101_1400,559162.8996,4104670.094,43,0.262539842,1.105,0.78,0.290106525,0.204781077,Soft,Mud,0
AN1,101_1400,559163.1047,4104669.929,43,0.262855445,1.105,0.78,0.290455267,0.205027247,Soft,Mud,0
AN1,101_1400,559163.309,4104669.763,43.1,0.263496372,1.105,0.78,0.291163492,0.205527171,Soft,Mud,0
