Site,LineID,X,Y,SF_Depth,XYdist,Width_Fish,Width_Invert,XYWarea_Fish,XYWarea_Invert,Substrate,Habitat_Fine,Brown.rockfish
MN2,90_900,539962.8091,4154513.821,36.8,0.228730428,1.53,1.08,0.349957555,0.247028862,Mixed,Rock-Mud,0
MN2,90_900,539962.8037,4154514.06,36.8,0.238659382,1.7,1.2,0.405720949,0.286391258,Mixed,Rock-Mud,0
MN2,90_900,539962.7972,4154514.309,36.8,0.248591523,1.615,1.14,0.401475309,0.283394336,Mixed,Rock-Mud,0
MN2,90_900,539962.7897,4154514.567,37.1,0.258526482,1.615,1.14,0.417520269,0.29472019,Soft,Mud,0
MN2,90_900,539962.781,4154514.835,37.1,0.268463947,1.53,1.08,0.410749839,0.289941063,Soft,Mud,0
MN2,90_900,539962.7713,4154515.114,37.1,0.278403647,1.53,1.08,0.42595758,0.300675939,Soft,Mud,0
MN2,90_900,539962.7604,4154515.402,37.2,0.288345355,1.7,1.2,0.490187104,0.346014426,Soft,Mud,0
MN2,90_900,539962.7499,4154515.7,37.2,0.298889966,1.615,1.14,0.482707296,0.340734562,Soft,Mud,0
MN2,90_900,539962.7355,4154516.01,37.3,0.309937235,1.615,1.14,0.500548634,0.353328448,Soft,Mud,0
MN2,90_900,539962.72,4154516.33,37.2,0.319939121,1.445,1.02,0.46231203,0.326337904,Soft,Mud,0
MN2,90_900,539962.7075,4154516.659,37.2,0.329238088,1.445,1.02,0.475749037,0.335822849,Soft,Mud,0
MN2,90_900,539962.6929,4154516.995,37.3,0.336571266,1.445,1.02,0.486345479,0.343302691,Mixed,Rock-Mud,0
MN2,90_900,539962.6791,4154517.344,37.1,0.34901223,1.53,1.08,0.533988712,0.376933208,Mixed,Rock-Mud,0
MN2,90_900,539962.6666,4154517.706,37.1,0.362647375,1.53,1.08,0.554850484,0.391659165,Mixed,Rock-Mud,0
MN2,90_900,539962.6562,4154518.083,37.1,0.377485988,1.615,1.14,0.60963987,0.430334026,Mixed,Rock-Mud,0
MN2,90_900,539962.6504,4154518.476,37,0.39306083,1.53,1.08,0.601383071,0.424505697,Mixed,Rock-Mud,0
MN2,90_900,539962.6517,4154518.886,37,0.409464143,1.53,1.08,0.626480139,0.442221274,Mixed,Rock-Mud,0
MN2,90_900,539962.6626,4154519.31,37.1,0.424442332,1.615,1.14,0.685474366,0.483864258,Hard,Rock,0
MN2,90_900,539962.6851,4154519.748,37,0.438122933,1.615,1.14,0.707568536,0.499460143,Hard,Rock,0
MN2,90_900,539962.7187,4154520.201,37.2,0.454243105,2.04,1.44,0.926655935,0.654110072,Hard,Rock,0
MN2,90_900,539962.7631,4154520.671,37.1,0.472734434,1.87,1.32,0.884013391,0.624009452,Hard,Rock,0
MN2,90_900,539962.8181,4154521.155,37.1,0.487037592,1.955,1.38,0.952158493,0.672111877,Mixed,Rock-Cobble,0
MN2,90_900,539962.884,4154521.648,37.1,0.497166622,1.955,1.38,0.971960745,0.686089938,Mixed,Rock-Cobble,0
MN2,90_900,539962.9606,4154522.139,37.1,0.496932074,1.87,1.32,0.929262979,0.655950338,Mixed,Rock-Cobble,0
MN2,90_900,539963.0478,4154522.629,37.2,0.497545775,1.785,1.26,0.888119209,0.626907677,Mixed,Rock-Cobble,0
MN2,90_900,539963.1544,4154523.116,37.2,0.49838256,1.615,1.14,0.804887835,0.568156119,Mixed,Rock-Cobble,0
MN2,90_900,539963.2775,4154523.595,37.2,0.494743581,1.53,1.08,0.756957679,0.534323068,Mixed,Rock-Cobble,0
MN2,90_900,539963.4066,4154524.065,37.2,0.487625283,1.53,1.08,0.746066682,0.526635305,Mixed,Rock-Cobble,0
MN2,90_900,539963.5315,4154524.527,37.2,0.478935791,1.7,1.2,0.814190845,0.574722949,Mixed,Rock-Cobble,0
MN2,90_900,539963.6421,4154524.983,37.1,0.468802653,1.445,1.02,0.677419834,0.478178706,Hard,Rock,0
MN2,90_900,539963.7332,4154525.428,37.1,0.454679685,1.615,1.14,0.734307692,0.518334841,Hard,Rock,0
MN2,90_900,539963.7996,4154525.86,37.1,0.437108458,1.53,1.08,0.66877594,0.472077134,Hard,Rock,0
MN2,90_900,539963.8413,4154526.281,37,0.423056823,1.53,1.08,0.647276939,0.456901369,Hard,Rock,0
MN2,90_900,539963.8584,4154526.694,37,0.412689382,1.53,1.08,0.631414755,0.445704533,Hard,Rock,0
MN2,90_900,539963.8507,4154527.089,37,0.395203345,1.445,1.02,0.571068834,0.403107412,Hard,Rock,0
MN2,90_900,539963.8176,4154527.465,37,0.377536153,1.445,1.02,0.545539741,0.385086876,Hard,Rock,0
MN2,90_900,539963.7499,4154527.823,37,0.364008019,1.36,0.96,0.495050906,0.349447698,Hard,Rock,0
MN2,90_900,539963.6479,4154528.166,36.9,0.358000944,1.36,0.96,0.486881284,0.343680907,Hard,Rock,0
MN2,90_900,539963.5193,4154528.495,36.8,0.353361236,2.04,1.44,0.720856921,0.508840179,Hard,Rock,0
MN2,90_900,539963.3721,4154528.811,36.7,0.348281642,1.955,1.38,0.68089061,0.480628666,Hard,Rock,0
MN2,90_900,539963.2143,4154529.113,36.7,0.341392412,1.785,1.26,0.609385456,0.43015444,Hard,Rock,0
MN2,90_900,539963.0515,4154529.404,36.4,0.333329786,1.615,1.14,0.538327604,0.379995956,Mixed,Rock-Mud,0
MN2,90_900,539962.8894,4154529.684,35.6,0.323622022,1.615,1.14,0.522649565,0.368929105,Mixed,Rock-Mud,0
MN2,90_900,539962.728,4154529.956,36.5,0.315756499,1.785,1.26,0.56362535,0.397853189,Mixed,Rock-Mud,0
MN2,90_900,539962.5678,4154530.222,36.6,0.311084372,1.7,1.2,0.528843432,0.373301246,Mixed,Rock-Mud,0
MN2,90_900,539962.4132,4154530.491,36.6,0.309864834,1.615,1.14,0.500431707,0.353245911,Mixed,Rock-Mud,0
MN2,90_900,539962.2584,4154530.764,36.5,0.31392926,1.615,1.14,0.506995754,0.357879356,Mixed,Rock-Mud,0
MN2,90_900,539962.0972,4154531.044,36.8,0.323204314,1.53,1.08,0.4945026,0.349060659,Mixed,Rock-Mud,0
MN2,90_900,539961.9333,4154531.329,36.8,0.328265031,1.445,1.02,0.47434297,0.334830332,Mixed,Rock-Mud,0
MN2,90_900,539961.7705,4154531.615,36.7,0.329108566,1.445,1.02,0.475561877,0.335690737,Mixed,Rock-Mud,0
MN2,90_900,539961.614,4154531.899,36.7,0.32420857,1.53,1.08,0.496039113,0.350145256,Mixed,Rock-Mud,0
MN2,90_900,539961.4627,4154532.179,36.6,0.318330159,1.36,0.96,0.432929016,0.305596952,Mixed,Rock-Mud,0
MN2,90_900,539961.3135,4154532.453,36.6,0.312553869,1.275,0.9,0.398506184,0.281298483,Hard,Rock,0
MN2,90_900,539961.1696,4154532.72,36.5,0.303324652,1.275,0.9,0.386738932,0.272992187,Hard,Rock,0
MN2,90_900,539961.0351,4154532.978,36.3,0.290649829,1.275,0.9,0.370578532,0.261584846,Hard,Rock,0
MN2,90_900,539960.9027,4154533.226,36.4,0.281051727,1.275,0.9,0.358340952,0.252946554,Hard,Rock,0
MN2,90_900,539960.7609,4154533.466,36.4,0.278732164,3.315,2.34,0.923997124,0.652233264,Hard,Rock,0
MN2,90_900,539960.6218,4154533.685,36.3,0.259770458,3.4,2.4,0.883219557,0.623449099,Hard,Rock,0
MN2,90_900,539960.4913,4154533.881,36.3,0.235614928,3.4,2.4,0.801090756,0.565475828,Hard,Rock,0
MN2,90_900,539960.3659,4154534.057,35.7,0.21596628,3.4,2.4,0.734285352,0.518319072,Hard,Rock,0
MN2,90_900,539960.2417,4154534.215,35.8,0.201032431,3.315,2.34,0.66642251,0.47041589,Hard,Rock,0
MN2,90_900,539960.1136,4154534.359,35.7,0.192817292,3.315,2.34,0.639189323,0.451192464,Hard,Rock,0
MN2,90_900,539959.9826,4154534.491,35.7,0.185857547,3.145,2.22,0.584521986,0.412603755,Hard,Rock,0
MN2,90_900,539959.8518,4154534.612,35.9,0.17828711,3.145,2.22,0.560712961,0.395797384,Hard,Rock,0
MN2,90_900,539959.7181,4154534.725,35.9,0.174868667,2.04,1.44,0.35673208,0.25181088,Hard,Rock,0
MN2,90_900,539959.5774,4154534.831,36.1,0.176164759,2.04,1.44,0.359376108,0.253677253,Hard,Rock,0
MN2,90_900,539959.4362,4154534.929,36.1,0.171617598,1.955,1.38,0.335512403,0.236832285,Mixed,Rock-Mud,0
MN2,90_900,539959.3012,4154535.016,36.1,0.160938249,1.955,1.38,0.314634277,0.222094784,Mixed,Rock-Mud,0
MN2,90_900,539959.1661,4154535.104,36.2,0.160938249,1.615,1.14,0.259915273,0.183469604,Mixed,Rock-Mud,0
MN2,90_900,539959.0311,4154535.191,36.3,0.160938249,1.615,1.14,0.259915272,0.183469604,Mixed,Rock-Mud,0
MN2,90_900,539958.896,4154535.279,36.4,0.16093825,1.615,1.14,0.259915273,0.183469604,Mixed,Rock-Mud,0
MN2,90_900,539958.761,4154535.366,36.5,0.160938249,1.445,1.02,0.23255577,0.164157014,Mixed,Rock-Mud,0
MN2,90_900,539958.6259,4154535.454,36.5,0.160938249,1.445,1.02,0.23255577,0.164157014,Mixed,Rock-Mud,0
MN2,90_900,539958.4899,4154535.537,36.6,0.159232868,1.53,1.08,0.243626288,0.171971498,Mixed,Rock-Mud,0
MN2,90_900,539958.3551,4154535.615,36.8,0.155720697,1.53,1.08,0.238252667,0.168178353,Mixed,Rock-Mud,0
MN2,90_900,539958.222,4154535.687,36.7,0.151658734,1.87,1.32,0.283601833,0.200189529,Mixed,Rock-Mud,0
MN2,90_900,539958.0912,4154535.754,36.8,0.147060615,1.87,1.32,0.27500335,0.194120012,Soft,Mud,0
MN2,90_900,539957.9608,4154535.816,37,0.144322717,1.7,1.2,0.245348618,0.17318726,Soft,Mud,0
MN2,90_900,539957.8282,4154535.874,36.8,0.144537396,1.7,1.2,0.245713573,0.173444875,Soft,Mud,0
MN2,90_900,539957.6933,4154535.928,36.9,0.145479752,1.785,1.26,0.259681357,0.183304487,Soft,Mud,0
MN2,90_900,539957.5591,4154535.981,36.9,0.144273303,1.87,1.32,0.269791076,0.19044076,Soft,Mud,0
MN2,90_900,539957.4256,4154536.033,36.9,0.14307857,1.955,1.38,0.279718605,0.197448427,Soft,Mud,0
MN2,90_900,539957.2926,4154536.082,36.8,0.141895851,2.125,1.5,0.301528683,0.212843776,Soft,Mud,0
MN2,90_900,539957.1603,4154536.13,36.9,0.140725446,2.21,1.56,0.311003237,0.219531696,Mixed,Rock-Mud,0
MN2,90_900,539957.0297,4154536.182,36.7,0.140297823,2.125,1.5,0.298132873,0.210446734,Mixed,Rock-Mud,0
MN2,90_900,539956.8985,4154536.236,36.7,0.142029109,2.04,1.44,0.289739383,0.204521918,Mixed,Rock-Mud,0
MN2,90_900,539956.7662,4154536.294,36.6,0.144429727,1.955,1.38,0.282360116,0.199313023,Mixed,Rock-Mud,0
MN2,90_900,539956.6322,4154536.356,36.9,0.147506365,1.87,1.32,0.275836902,0.194708401,Mixed,Rock-Mud,0
MN2,90_900,539956.4984,4154536.421,37,0.148888832,1.955,1.38,0.291077667,0.205466588,Mixed,Rock-Mud,0
MN2,90_900,539956.3676,4154536.489,36.9,0.147564687,1.955,1.38,0.288488962,0.203639267,Mixed,Rock-Mud,0
MN2,90_900,539956.2396,4154536.559,36.8,0.145608157,1.955,1.38,0.284663947,0.200939257,Hard,Rock,0
MN2,90_900,539956.1115,4154536.633,36.7,0.148269866,1.955,1.38,0.289867588,0.204612415,Hard,Rock,0
MN2,90_900,539955.9851,4154536.712,36.6,0.148877838,1.955,1.38,0.291056173,0.205451416,Hard,Rock,0
MN2,90_900,539955.8621,4154536.793,36.5,0.147402696,2.04,1.44,0.300701501,0.212259883,Hard,Rock,0
MN2,90_900,539955.7401,4154536.875,36.6,0.147061947,2.04,1.44,0.300006372,0.211769204,Hard,Rock,0
MN2,90_900,539955.617,4154536.957,36.6,0.147781684,3.145,2.22,0.464773396,0.328075338,Hard,Rock,0
MN2,90_900,539955.4946,4154537.04,36.7,0.148156049,3.06,2.16,0.45335751,0.320017066,Hard,Rock,0
MN2,90_900,539955.3746,4154537.128,36.7,0.148283479,3.06,2.16,0.453747445,0.320292314,Hard,Rock,0
MN2,90_900,539955.2577,4154537.215,36.6,0.145822126,2.635,1.86,0.384241301,0.271229154,Hard,Rock,0
MN2,90_900,539955.1442,4154537.298,36.6,0.140674141,2.975,2.1,0.418505569,0.295415696,Hard,Rock,0
MN2,90_900,539955.0333,4154537.381,36.7,0.138553823,2.89,2.04,0.400420548,0.282649798,Hard,Rock,0
MN2,90_900,539954.9239,4154537.467,36.6,0.139530896,2.89,2.04,0.403244289,0.284643028,Hard,Rock,0
MN2,90_900,539954.8154,4154537.551,36.6,0.137111226,2.55,1.8,0.349633626,0.246800207,Hard,Rock,0
MN2,90_900,539954.7058,4154537.633,36.5,0.136840163,2.635,1.86,0.360573828,0.254522702,Hard,Rock,0
MN2,90_900,539954.5939,4154537.714,36.5,0.137688379,2.635,1.86,0.362808878,0.256100385,Hard,Rock,0
MN2,90_900,539954.4817,4154537.792,36.4,0.13709194,2.38,1.68,0.326278817,0.230314459,Hard,Rock,0
MN2,90_900,539954.3722,4154537.872,36.5,0.135625173,2.21,1.56,0.299731633,0.21157527,Hard,Rock,0
MN2,90_900,539954.2657,4154537.954,36.5,0.134188824,2.21,1.56,0.296557301,0.209334566,Mixed,Rock-Mud,0
MN2,90_900,539954.1605,4154538.035,36.6,0.132958714,2.21,1.56,0.293838758,0.207415594,Mixed,Rock-Mud,0
MN2,90_900,539954.056,4154538.12,36.8,0.13451599,1.955,1.38,0.262978761,0.185632066,Mixed,Rock-Mud,0
MN2,90_900,539953.9518,4154538.212,36.7,0.139044328,1.955,1.38,0.271831662,0.191881173,Mixed,Rock-Mud,0
MN2,90_900,539953.8488,4154538.308,36.9,0.140508163,2.04,1.44,0.286636652,0.202331754,Mixed,Rock-Mud,0
MN2,90_900,539953.748,4154538.403,36.9,0.138744599,1.955,1.38,0.271245691,0.191467547,Mixed,Rock-Mud,0
MN2,90_900,539953.6499,4154538.499,36.9,0.137200026,1.955,1.38,0.268226051,0.189336036,Mixed,Rock-Mud,0
MN2,90_900,539953.5552,4154538.596,37,0.135927017,1.955,1.38,0.265737318,0.187579283,Mixed,Rock-Mud,0
MN2,90_900,539953.463,4154538.696,36.9,0.135912084,1.36,0.96,0.184840434,0.1304756,Mixed,Rock-Mud,0
MN2,90_900,539953.3739,4154538.8,36.9,0.136818861,1.19,0.84,0.162814445,0.114927844,Mixed,Rock-Mud,0
MN2,90_900,539953.2869,4154538.906,37,0.137347366,1.275,0.9,0.175117892,0.12361263,Mixed,Rock-Mud,0
MN2,90_900,539953.1999,4154539.013,37,0.137347367,1.275,0.9,0.175117893,0.12361263,Mixed,Rock-Mud,0
MN2,90_900,539953.1129,4154539.119,37.1,0.137347366,1.19,0.84,0.163443366,0.115371788,Soft,Mud,0
MN2,90_900,539953.0259,4154539.225,37.1,0.137347366,1.19,0.84,0.163443366,0.115371788,Soft,Mud,0
MN2,90_900,539952.9389,4154539.331,37.1,0.137347367,1.19,0.84,0.163443366,0.115371788,Soft,Mud,0
MN2,90_900,539952.8519,4154539.438,37.1,0.137347366,1.19,0.84,0.163443366,0.115371788,Soft,Mud,0
MN2,90_900,539952.7649,4154539.544,37,0.137347366,1.105,0.78,0.151768839,0.107130946,Soft,Mud,0
MN2,90_900,539952.6789,4154539.655,36.9,0.140302269,1.105,0.78,0.155034007,0.10943577,Soft,Mud,0
