Site,LineID,X,Y,SF_Depth,XYdist,Width_Fish,Width_Invert,XYWarea_Fish,XYWarea_Invert,Substrate,Habitat_Fine,Brown.rockfish
PP1,92_910,542573.3709,4149600.88,27.8,0.301758842,1.955,1.38,0.589938535,0.416427201,Mixed,Rock-Mud,0
PP1,92_910,542573.4357,4149600.59,27.7,0.297446171,1.53,1.08,0.455092642,0.321241865,Mixed,Rock-Mud,0
PP1,92_910,542573.4828,4149600.304,27.6,0.289505029,1.19,0.84,0.344510984,0.243184224,Mixed,Rock-Mud,0
PP1,92_910,542573.5149,4149600.019,27.5,0.286786238,1.105,0.78,0.316898793,0.223693266,Mixed,Rock-Mud,0
PP1,92_910,542573.535,4149599.731,27.9,0.28895622,1.105,0.78,0.319296623,0.225385852,Mixed,Rock-Mud,0
PP1,92_910,542573.5448,4149599.436,28.1,0.294901874,1.275,0.9,0.375999889,0.265411686,Hard,Rock,0
PP1,92_910,542573.5458,4149599.132,28.2,0.304439077,1.275,0.9,0.388159823,0.273995169,Hard,Rock,0
PP1,92_910,542573.5419,4149598.816,28.2,0.315327639,1.7,1.2,0.536056986,0.378393167,Hard,Rock,0
PP1,92_910,542573.5367,4149598.489,27.8,0.327379569,2.72,1.92,0.890472427,0.628568772,Hard,Rock,0
PP1,92_910,542573.5297,4149598.152,28,0.337302051,3.145,2.22,1.06081495,0.748810553,Hard,Rock,0
PP1,92_910,542573.5204,4149597.807,27.7,0.345101562,3.4,2.4,1.173345312,0.82824375,Hard,Rock,0
PP1,92_910,542573.509,4149597.462,27.7,0.344648412,2.72,1.92,0.937443681,0.661724951,Hard,Rock,0
PP1,92_910,542573.4993,4149597.136,27.6,0.326520335,2.38,1.68,0.777118398,0.548554163,Hard,Rock,0
PP1,92_910,542573.491,4149596.828,27.7,0.308717446,1.955,1.38,0.603542606,0.426030075,Hard,Rock,0
PP1,92_910,542573.4816,4149596.543,27.6,0.284231056,1.7,1.2,0.483192796,0.341077268,Hard,Rock,0
PP1,92_910,542573.4686,4149596.291,27.5,0.253120899,1.7,1.2,0.430305528,0.303745078,Hard,Rock,0
PP1,92_910,542573.4543,4149596.067,27.6,0.224476501,1.7,1.2,0.381610051,0.269371801,Hard,Rock,0
PP1,92_910,542573.4409,4149595.869,27.4,0.198220935,2.975,2.1,0.589707281,0.416263963,Hard,Rock,0
PP1,92_910,542573.428,4149595.698,27.5,0.171819821,1.445,1.02,0.248279642,0.175256218,Hard,Rock,0
PP1,92_910,542573.4149,4149595.553,27.5,0.145294891,1.275,0.9,0.185250986,0.130765402,Hard,Rock,0
PP1,92_910,542573.4024,4149595.432,27.5,0.12148715,2.38,1.68,0.289139418,0.204098413,Hard,Rock,0
PP1,92_910,542573.3912,4149595.332,27.6,0.100367923,2.55,1.8,0.255938203,0.180662261,Hard,Rock,0
PP1,92_910,542573.3831,4149595.249,27.5,0.08361646,2.55,1.8,0.213221972,0.150509627,Hard,Rock,0
PP1,92_910,542573.3749,4149595.166,27.6,0.08361646,2.55,1.8,0.213221972,0.150509627,Hard,Rock,0
PP1,92_910,542573.3668,4149595.083,27.8,0.083616459,2.635,1.86,0.22032937,0.155526614,Mixed,Rock-Mud,0
